CPU_Total,CPU_P1,CPU_P2,CPU_P3,CPU_P4,Disk_wrVolume,Disk_wraccessVolume,Load_1min,Load_5min,Load_15min,Mem_Avail,Mem_freeTotal,Ping_Time(ms),Ping_Min(ms),Ping_Max(ms),Ping_PacketLoss,Traffic_inVolume,Traffic_outVolume,Class
1.8333,1.6667,1.5,1.8333,1,2324190.943,35.8008,0.1617,0.1067,0.1417,73953280,7804605781,9.4,7.6667,13.6667,0,913400.6,921579.4,TSK
1.6667,2,1,1.6667,1,1914499.072,34.105,0.015,0.0983,0.1767,70322176,7807007403,9.5333,8,12.8333,0,923122.8517,931744.0208,TSK
2.8333,3.3333,4.1667,3.6667,0.3333,97483.98,11.5996,0.1317,0.5167,0.58,7044997120,7893402283,11.9667,7.8333,18.1667,0,915348.1592,923588.6286,TVM
26,1,1,1,100,2133517.838,33.9965,1,1,1.03,779627178.7,3732546901,10,8,13.8333,0,922461.4341,931920.7458,WSK
1,1,1,1,1,2113536,35,0,0.015,0.07,5648616107,7883560277,8.5667,7.6667,9.8333,0,921245.6134,929919.1904,TWM
1.5,1.1667,1.3333,2,1,2081419.748,33.9976,0.0817,0.1417,0.17,73441280,7803455488,9.9,7.8333,13.6667,0,923684.0375,931881.4982,TSK
1.8333,1.8333,1,2,1,2119264.66,34.5988,0.0067,0.0817,0.1333,1592390315,7804246699,9.0333,7.5,12.5,0,923196.1,931844.6,TSK
26,1,1,1,100,2139763.088,34.596,1.065,1.065,1.0633,89063424,2231825749,10.3,7.8333,16.3333,0,917982.0561,926738.1301,WSK
11,1.8333,5.1667,26,11.3333,1750521.337,29.9945,0.3933,0.33,0.3967,5643033941,7007891456,9.1,7.1667,13.6667,0,913865.3724,921572.7748,WSK
26,2,1,0.8333,100,2148345.85,33.4985,1.0183,1.025,1.0717,84129792,2818268501,9.2,8,11,0,923556.2384,931948.9309,WSK
26,2,1,1.1667,99.8333,2134016,34,1.0017,1.075,1.1767,2212243456,4717960533,9.2667,8.1667,11,0,913558.2192,921572.7748,WSK
1,1,1,1,1,16384,3,0,0.01,0.06,6977665024,7888665941,10.3,8,16,0,911913.7986,921360.0577,NTS
